id;annotation;min;max;length;dir
PRJNA276168:UN65_01515;hypothetical protein;313498;313917;420;r
PRJNA276168:UN65_01520;excinuclease ABC subunit B;314057;314458;402;f
PRJNA276168:UN65_01525;nicotinate-nucleotide adenylyltransferase;314799;316265;1467;r
PRJNA276168:UN65_01530;beta-lactamase;316350;317114;765;f
PRJNA276168:UN65_01535;hypothetical protein;317118;317585;468;f
PRJNA276168:UN65_01540;deoxyribonucleotide triphosphate pyrophosphatase;318889;319482;594;f
PRJNA276168:UN65_01545;ATP-dependent DNA helicase;319753;322089;2337;r
PRJNA276168:UN65_01550;hypothetical protein;322201;322722;522;f
PRJNA276168:UN65_01555;hypothetical protein;322803;323153;351;f
PRJNA276168:UN65_01560;TonB-dependent receptor;323194;325401;2208;f
PRJNA276168:UN65_01565;hypothetical protein;325633;326358;726;r
PRJNA276168:UN65_01570;hypothetical protein;326436;326633;198;f
PRJNA276168:UN65_01575;hypothetical protein;326688;326972;285;r
PRJNA276168:UN65_01580;hypothetical protein;327124;329253;2130;f
PRJNA276168:UN65_01590;hypothetical protein;330006;330449;444;r
PRJNA276168:UN65_01595;hypothetical protein;330576;331700;1125;f
PRJNA276168:UN65_01600;hypothetical protein;331771;332856;1086;f
PRJNA276168:UN65_01605;hypothetical protein;332867;333238;372;f
PRJNA276168:UN65_01610;hypothetical protein;333259;334500;1242;f
PRJNA276168:UN65_01615;hypothetical protein;334500;334919;420;f
PRJNA276168:UN65_01620;hypothetical protein;334997;335320;324;f
PRJNA276168:UN65_01625;hypothetical protein;335505;336155;651;f
PRJNA276168:UN65_01630;hypothetical protein;336155;337162;1008;f
PRJNA276168:UN65_01635;hypothetical protein;337159;337641;483;f
PRJNA276168:UN65_01640;hypothetical protein;337641;337856;216;f
PRJNA276168:UN65_01645;hypothetical protein;337858;338145;288;f
PRJNA276168:UN65_01650;hypothetical protein;338152;338526;375;f
PRJNA276168:UN65_01655;hypothetical protein;338501;338800;300;f
PRJNA276168:UN65_01660;hypothetical protein;338803;339642;840;f
PRJNA276168:UN65_01665;hypothetical protein;339632;340096;465;f
PRJNA276168:UN65_01670;hypothetical protein;340093;340914;822;f
PRJNA276168:UN65_01675;hypothetical protein;340911;341276;366;f
PRJNA276168:UN65_01680;hypothetical protein;341533;342789;1257;f
PRJNA276168:UN65_01685;hypothetical protein;342790;343026;237;f
PRJNA276168:UN65_01690;hypothetical protein;343020;343295;276;f
PRJNA276168:UN65_01695;hypothetical protein;343292;343798;507;f
PRJNA276168:UN65_01700;hypothetical protein;343800;344378;579;f
PRJNA276168:UN65_01705;thymidylate synthase;344542;345183;642;f
PRJNA276168:UN65_01710;DNA methyltransferase;345238;346086;849;f
PRJNA276168:UN65_01715;prolyl endopeptidase;346225;348342;2118;f
PRJNA276168:UN65_01720;signal recognition particle;348588;349937;1350;f
PRJNA276168:UN65_01725;5%2C10-methylene-tetrahydrofolate cyclohydrolase;350011;350898;888;f
PRJNA276168:UN65_01735;hypothetical protein;351697;352080;384;r
PRJNA276168:UN65_01740;alanine dehydrogenase;352119;353312;1194;r
PRJNA276168:UN65_01745;hydrolase;353513;353923;411;r
PRJNA276168:UN65_01750;chemotaxis protein CheY;354609;356153;1545;r
PRJNA276168:UN65_01755;metalloendopeptidase;356314;358353;2040;f
PRJNA276168:UN65_01760;phosphohydrolase;358436;359671;1236;f
PRJNA276168:UN65_01765;UDP-3-O-%283-hydroxymyristoyl%29 glucosamine N-acyltransferase;359706;360728;1023;f
PRJNA276168:UN65_01770;hydroxymyristoyl-ACP dehydratase;360734;362122;1389;f
PRJNA276168:UN65_01775;acyl-ACP--UDP-N- acetylglucosamine O-acyltransferase;362182;362967;786;f
PRJNA276168:UN65_01780;elongation factor P;362989;363555;567;f
PRJNA276168:UN65_01785;UDP-3-O-%283-hydroxymyristoyl%29 glucosamine N-acyltransferase;363555;364496;942;f
PRJNA276168:UN65_01790;succinate--CoA ligase;364612;365484;873;f
PRJNA276168:UN65_01795;AMP-dependent synthetase;366000;367772;1773;f
PRJNA276168:UN65_01800;alpha/beta hydrolase;367901;368752;852;r
PRJNA276168:UN65_01805;peptidase M48;368946;369761;816;f
PRJNA276168:UN65_01810;MFS transporter permease;369822;371129;1308;f
PRJNA276168:UN65_01815;Lon protease;371281;373731;2451;f
PRJNA276168:UN65_01820;penicillin-binding protein;373822;374838;1017;f
PRJNA276168:UN65_01825;cytidylate kinase;374842;375525;684;f
PRJNA276168:UN65_01830;nucleoside permease;375620;376873;1254;f
PRJNA276168:UN65_01835;30S ribosomal protein S1;377097;378860;1764;f
PRJNA276168:UN65_01840;PyrR protein;379266;379802;537;f
PRJNA276168:UN65_01845;aspartate carbamoyltransferase;379804;380730;927;f
PRJNA276168:UN65_01850;ribonuclease Z;380785;381117;333;f
PRJNA276168:UN65_01855;primase;381507;381881;375;r
PRJNA276168:UN65_01860;deoxyhypusine synthase;381901;382875;975;r
PRJNA276168:UN65_01865;decarboxylase;382908;384308;1401;r
PRJNA276168:UN65_01870;3-dehydroquinate synthase;384477;385532;1056;r
PRJNA276168:UN65_01875;proline dehydrogenase;385628;386797;1170;f
PRJNA276168:UN65_01880;ribonuclease Z;386851;387756;906;f
PRJNA276168:UN65_01885;pyridoxamine 5%27-phosphate oxidase;388254;388898;645;f
PRJNA276168:UN65_01890;DNA polymerase III subunits gamma and tau;389926;391011;1086;f
PRJNA276168:UN65_01895;DNA polymerase III subunit gamma/tau;391209;391646;438;f
PRJNA276168:UN65_01900;Clp protease ClpB;392197;394806;2610;f
PRJNA276168:UN65_01905;glycerol kinase;395025;396512;1488;f
PRJNA276168:UN65_01910;FAD-dependent oxidoreductase;396513;398066;1554;f
PRJNA276168:UN65_01915;glycerol transporter;398072;398782;711;f
PRJNA276168:UN65_01920;RNA polymerase subunit sigma-24;398979;399569;591;f
PRJNA276168:UN65_01925;endonuclease III;399936;400595;660;r
PRJNA276168:UN65_01930;thiol peroxidase;400629;401087;459;f
PRJNA276168:UN65_01935;ACP phosphodiesterase;401421;402005;585;r
PRJNA276168:UN65_01940;phosphoglucosamine mutase;402104;403492;1389;f
PRJNA276168:UN65_01945;amino acid transporter;403932;405608;1677;f
PRJNA276168:UN65_01950;glycosyl transferase family 1;406104;407378;1275;r
PRJNA276168:UN65_01955;camphor resistance protein CrcB;407404;407775;372;r
PRJNA276168:UN65_01960;membrane protein;407772;410195;2424;r
PRJNA276168:UN65_01965;hypothetical protein;410451;410723;273;r
PRJNA276168:UN65_01970;hypothetical protein;410887;411954;1068;f
PRJNA276168:UN65_01975;GTP cyclohydrolase;411967;413085;1119;f
PRJNA276168:UN65_01980;transposase;413311;414672;1362;r
PRJNA276168:UN65_01985;branched-chain amino acid aminotransferase;414936;416003;1068;r
PRJNA276168:UN65_01990;SAM-dependent methyltransferase;416469;417134;666;f
PRJNA276168:UN65_01995;hypothetical protein;417213;417410;198;f
PRJNA276168:UN65_02000;cell envelope biogenesis protein OmpA;417833;418687;855;f
PRJNA276168:UN65_02005;phosphoribosylformylglycinamidine cyclo-ligase;418767;419945;1179;f
PRJNA276168:UN65_02010;hypothetical protein;420026;420382;357;f
PRJNA276168:UN65_02015;hypothetical protein;420385;420825;441;f
PRJNA276168:UN65_02020;hypothetical protein;421308;422879;1572;r
PRJNA276168:UN65_02025;membrane protein;422899;423261;363;r
PRJNA276168:UN65_02030;membrane protein;423499;424005;507;r
PRJNA276168:UN65_02035;30S ribosomal protein S6 modification protein RimK;424005;425375;1371;r
PRJNA276168:UN65_02040;Clp protease ClpC;425430;427976;2547;r
PRJNA276168:UN65_02045;DNA gyrase subunit A;428238;430796;2559;f
PRJNA276168:UN65_02050;hypothetical protein;430813;432090;1278;f
PRJNA276168:UN65_02055;hypothetical protein;432537;433586;1050;f
PRJNA276168:UN65_02060;hypothetical protein;433633;434418;786;f
PRJNA276168:UN65_02070;hypothetical protein;436722;437633;912;f
PRJNA276168:UN65_02080;transposase;438826;439719;894;f
PRJNA276168:UN65_02085;hypothetical protein;439723;440211;489;f
PRJNA276168:UN65_02090;hypothetical protein;440223;441317;1095;f
PRJNA276168:UN65_02100;transposase;442442;442708;267;r
PRJNA276168:UN65_02105;hypothetical protein;442751;443227;477;f
PRJNA276168:UN65_02115;hypothetical protein;443729;444070;342;f
PRJNA276168:UN65_02120;hypothetical protein;444221;445066;846;f
PRJNA276168:UN65_02125;preprotein translocase subunit YajC;445719;445982;264;r
PRJNA276168:UN65_02130;hypothetical protein;446027;446527;501;r
PRJNA276168:UN65_02135;antitermination protein NusB;446535;447443;909;r
